memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:52:15] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:52:15] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:54:26] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:54:26] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:34] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:34] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:34] "GET /static/welcome.jpg HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:34] "GET /favicon.ico HTTP/1.1" 404 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:38] "GET /signup HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:39] "POST /signup HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 18:58:39] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:00] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:00] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:00] "GET /static/welcome.jpg HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:00] "GET /favicon.ico HTTP/1.1" 404 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:04] "GET /signup HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:04] "POST /signup HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:00:04] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:28] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:28] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:28] "GET /static/welcome.jpg HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:28] "GET /favicon.ico HTTP/1.1" 404 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:32] "GET /signup HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:32] "POST /signup HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:33] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:33] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:33] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:37] "GET /signup HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:37] "POST /signup HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:01:37] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:02:24] "GET / HTTP/1.1" 302 -
