french,russian
l'homme , мужчина
la femme , женщина; жена
l'enfant , ребенок
le garçon , мальчик
la fille , девочка; дочь
l'ami , друг
l'invité , гость
le parents , родители
le père , отец
la mère , мать
le fils , сын
le mari , муж
le grand-père , дед
la grand-mère , бабушка
le beau-père ," тесть, свёкор"
la belle-mère ," тёща, свекровь"
l'oncle , дядя
la tante , тетя
le frère , брат
la soeur , сестра
le cousin, двоюродный брат
la cousine , двоюродная сестра
l'enseignant , учитель
le conducteur , водитель
le travailleur , рабочий
l'ingénieur , инженер
le docteur , врач
l'infirmière , медсестра
le vendeur , продавец
le comptable , бухгалтер
le peintre , художник
l'étudiant , студент
Russie , Россия
France , Франция
le chat , кошка
le chien , собака
l'oiseau , птица
l'école , школа
le théâtre , театр
la rue , улица; дорога
la place , площадь
la maison , дом
l'église , церковь
la rivière , река
le café , кафе
l'hôtel , гостиница
le jardin , сад
le parc , парк
la banque , банк
l'arrêt , остановка
le cinéma , cinéma
le pont , мост
l'intersection , перекрёсток
la forêt , лес
l'hôpital , больница
le marché , рынок
la police , полиция
la poste , почта
la gare ," станция, вокзал"
le centre , центр
le magasin , магазин
la montagne , гора
la cuisine , кухня
le balcon , балкон
la salle de bain , ванная
la douche , душ
les cabinets , туалет
le sol , пол
le plafond , потолок
le étage , этаж
le hall , коридор
la chambre à coucher , спальня
le salon , зал
la porte , дверь
la fenêtre , окно
la clé , ключ
le lit , кровать
la couverture , одеяло
le oreiller , подушка
la table , стол
la chaise , стул
le fauteuil , кресло
le frigo , холодильник
le sofa , диван
le miroir , зеркало
le pain , хлеб
le beurre , масло
le fromage , сыр
le saucisson , колбаса
la saucisse , сосиска
l'huile , растительное масло
le poivre , горький перец
le sel , соль
la baie , ягода
le miel , мёд
la confiture , варенье
le champignon , гриб
l'oignon , лук (репчатый)
la banane , banane
la carotte , морковь
la poire , груша
la betterave , свекла
les fruits , фрукты
le melon , дыня
la pastèque , арбуз
le gâteau , торт
le chocolat , шоколад
la viande , мясо
la pomme de terre , картофель
la salade , салат
la tomate , помидор
la concombre , огурец
le chou , капуста
la bouillie , каша
le soupe , суп
le sandwich , бутерброд
le soda , газировка
l'eau , вода
le café , кофе
le thé , чай
le lait , молоко
le jus , сок
la pomme , яблоко
le raisins , виноград
l'orange , апельсин
l'ananas , ананас
l'abricot , абрикос
le sucre , сахар
le riz , рис
las nouilles , лапша
le bœuf , говядина
le porc , свинина
le poulet , курица
la côtelette , котлета
le citron , лимон
les pois , горох
la brioche , булочка
le poisson , рыба
la pâtisserie , выпечка
le bonbon , конфета
la glace , мороженое
le écrou , орех
le oeuf , яйцо
la pêche , персик
la tasse , чашка
la verre , стакан
la assiette , тарелка
la cuillère , ложка
la fourchette , вилка
le couteau , нож
la soucoupe , блюдце
la bouteille , бутылка
la serviette ," салфетка, полотенце"
le petit déjeuner , завтрак
le déjeuner , обед
le dîner , ужин
l'avion , самолет
la voiture , автомобиль
le tram , трамвай
le bus , автобус
le train , поезд
le vélo , велосипед
l'année , год
la semaine , неделя
l'heure , час
la minute , минута
la fois , раз
hier , вчера
aujourd'hui , сегодня
demain , завтра
le jour , день
le matin , утро
la soirée , вечер
la nuit , ночь
Lundi , понедельник
Mardi , вторник
Mercredi , среда
Jeudi , четверг
Vendredi , пятница
